SectorId,IndustryGroupId,IndustryId,SubIndustryId,processed_Sector,processed_Industry,processed_SubIndustry,processed_SubIndustryDescription,IndustryGroup
10,1010,101010,10101010,energy,energy equipment service,oil gas drilling,drilling contractor owner drilling rig contract service drilling well,Energy
10,1010,101010,10101020,energy,energy equipment service,oil gas equipment service,manufacturer equipment including drilling rig equipment provider supply service company involved drilling evaluation completion oil gas well,Energy
10,1010,101020,10102010,energy,oil gas consumable fuel,integrated oil gas,integrated oil company engaged exploration production oil gas well least one significant activity either refining marketing transportation chemical,Energy
10,1010,101020,10102020,energy,oil gas consumable fuel,oil gas exploration production,company engaged exploration production oil gas classified elsewhere,Energy
10,1010,101020,10102030,energy,oil gas consumable fuel,oil gas refining marketing,company engaged refining marketing oil gas refined product classified integrated oil gas independent power producer energy trader,Energy
10,1010,101020,10102040,energy,oil gas consumable fuel,oil gas storage transportation,company engaged storage transportation oil gas refined product includes diversified midstream natural gas company oil refined product pipeline coal slurry pipeline oil gas shipping company,Energy
10,1010,101020,10102050,energy,oil gas consumable fuel,coal consumable fuel,company primarily involved production mining coal related product consumable fuel related generation energy excludes company primarily producing gas classified industrial gas company primarily mining metallurgical coking coal used steel production,Energy
15,1510,151010,15101010,material,chemical,commodity chemical,company primarily produce industrial chemical basic chemical including limited plastic synthetic fiber film paint pigment explosive petrochemical excludes chemical company classified diversified chemical fertilizer agricultural chemical industrial gas specialty chemical,Materials
15,1510,151010,15101020,material,chemical,diversified chemical,manufacturer diversified range chemical product classified industrial gas commodity chemical specialty chemical fertilizer agricultural chemical,Materials
15,1510,151010,15101030,material,chemical,fertilizer agricultural chemical,producer fertilizer pesticide potash chemical classified elsewhere,Materials
15,1510,151010,15101040,material,chemical,industrial gas,manufacturer industrial gas,Materials
15,1510,151010,15101050,material,chemical,specialty chemical,company primarily produce high chemical used manufacture wide variety product including limited fine chemical additive advanced polymer adhesive sealant specialty paint pigment coating,Materials
15,1510,151020,15102010,material,construction material,construction material,manufacturer construction material including sand clay gypsum lime aggregate cement concrete brick finished building material classified building product,Materials
15,1510,151030,15103010,material,container packaging,metal glass plastic container,manufacturer metal glass plastic container includes cork cap,Materials
15,1510,151030,15103020,material,container packaging,paper plastic packaging product material,manufacturer paper cardboard container packaging,Materials
15,1510,151040,15104010,material,metal mining,aluminum,producer aluminum related product including company mine process bauxite company recycle aluminum produce finished product excludes company primarily produce aluminum building material classified building product,Materials
15,1510,151040,15104020,material,metal mining,diversified metal mining,company engaged diversified production extraction metal mineral classified elsewhere including limited nonferrous metal mining except bauxite salt borate mining phosphate rock mining diversified mining operation excludes iron ore mining classified steel bauxite mining classified aluminum coal mining classified either steel coal consumable fuel,Materials
15,1510,151040,15104025,material,metal mining,copper,company involved primarily copper ore mining,Materials
15,1510,151040,15104030,material,metal mining,gold,producer gold related product including company mine process gold south african finance house primarily invest operate gold mine,Materials
15,1510,151040,15104040,material,metal mining,precious metal mineral,company mining precious metal mineral classified gold includes company primarily mining platinum,Materials
15,1510,151040,15104045,material,metal mining,silver,company primarily mining silver excludes company classified gold precious metal mineral,Materials
15,1510,151040,15104050,material,metal mining,steel,producer iron steel related product including metallurgical coking coal mining used steel production,Materials
15,1510,151050,15105010,material,paper forest product,forest product,manufacturer timber related wood product includes lumber building industry,Materials
15,1510,151050,15105020,material,paper forest product,paper product,manufacturer grade paper excludes company specializing paper packaging classified paper plastic packaging product material,Materials
20,2010,201010,20101010,industrials,aerospace defense,aerospace defense,manufacturer civil military aerospace defense equipment part product includes defense electronics space equipment,Capital Goods
20,2010,201020,20102010,industrials,building product,building product,manufacturer building component home improvement product equipment excludes lumber plywood classified forest product cement material classified construction material,Capital Goods
20,1510,201030,20103010,material,construction engineering,construction engineering,company engaged primarily construction includes civil engineering company contractor excludes company classified homebuilding,Materials
20,1510,201040,20104010,material,electrical equipment,electrical component equipment,company produce electric cable wire electrical component equipment classified heavy electrical equipment,Materials
20,1510,201040,20104020,material,electrical equipment,heavy electrical equipment,manufacturer equipment heavy electrical equipment including power turbine heavy electrical machinery intended large electrical system excludes cable wire classified electrical component equipment,Materials
20,1510,201050,20105010,material,industrial conglomerate,industrial conglomerate,diversified industrial company business activity three sector none contributes majority revenue stake held predominantly controlling nature stake holder maintain operational interest running subsidiary,Materials
20,1510,201060,20106010,material,machinery,construction machinery heavy transportation equipment,manufacturer heavy duty truck rolling machinery construction equipment manufacturer related part includes shipbuilding,Materials
20,1510,201060,20106015,material,machinery,agricultural farm machinery,company manufacturing agricultural machinery farm machinery related part includes machinery used production crop agricultural livestock agricultural tractor planting fertilizing machinery fertilizer chemical application equipment grain dryer blower,Materials
20,1510,201060,20106020,material,machinery,industrial machinery supply component,manufacturer industrial machinery industrial component includes company manufacture press machine tool compressor pollution control equipment elevator escalator insulator pump roller bearing metal fabrication,Materials
20,1510,201070,20107010,material,trading company distributor,trading company distributor,trading company distributor industrial equipment product,Materials
20,2020,202010,20201010,material,commercial service supply,commercial printing,company providing commercial printing service includes printer primarily serving medium industry,Commercial  & Professional Services
20,2020,202010,20201050,material,commercial service supply,environmental facility service,company providing environmental facility maintenance service includes waste management facility management pollution control service excludes water treatment system classified water utility,Commercial  & Professional Services
20,2020,202010,20201060,material,commercial service supply,office service supply,provider office service manufacturer office supply equipment classified elsewhere,Commercial  & Professional Services
20,2020,202010,20201070,material,commercial service supply,diversified support service,company primarily providing labor oriented support service business government includes commercial cleaning service dining catering service equipment repair service industrial maintenance service industrial auctioneer storage warehousing transaction service uniform rental service business support service,Commercial  & Professional Services
20,2020,202010,20201080,material,commercial service supply,security alarm service,company providing security protection service business government includes company providing service correctional facility security alarm service armored transportation guarding excludes company providing security software classified system software home security service classified specialized consumer service also excludes company manufacturing security system equipment classified electronic equipment instrument,Commercial  & Professional Services
20,2020,202020,20202010,material,professional service,human resource employment service,company providing business support service relating human capital management includes employment agency employee training payroll processing benefit retirement support service corporate job seeker recruitment service online job portal generating revenue fee commission offering recruitment service company job seeker,Commercial  & Professional Services
20,2020,202020,20202020,material,professional service,research consulting service,company primarily providing research consulting service business government classified elsewhere includes company involved management consulting service architectural design business information scientific research marketing testing certification service excludes company providing information technology consulting service classified consulting service,Commercial  & Professional Services
20,2020,202020,20202030,material,professional service,data processing outsourced service,provider commercial data processing business process outsourcing service includes company providing service customer experience management automation call center management investor communication,Commercial  & Professional Services
20,2030,203010,20301010,material,air freight logistics,air freight logistics,company providing air freight transportation courier logistics service including package mail delivery custom agent excludes company classified passenger airline marine transportation cargo ground transportation passenger ground transportation,Transportation
20,2030,203020,20302010,material,passenger airline,passenger airline,company providing primarily passenger air transportation,Transportation
20,2030,203030,20303010,material,marine transportation,marine transportation,company providing good passenger maritime transportation excludes classified hotel resort cruise line,Transportation
20,2030,203040,20304010,material,ground transportation,rail transportation,company providing primarily good passenger rail transportation,Transportation
20,2030,203040,20304030,material,ground transportation,cargo ground transportation,company providing ground transportation service good freight,Transportation
20,2030,203040,20304040,material,ground transportation,passenger ground transportation,company providing passenger ground transportation related service including bus taxi vehicle rental ride sharing ride sharing platform passenger logistics,Transportation
20,2030,203050,20305010,material,transportation infrastructure,airport service,operator airport company providing related service,Transportation
20,2030,203050,20305020,material,transportation infrastructure,highway railtracks,owner operator road tunnel railtracks,Transportation
20,2030,203050,20305030,material,transportation infrastructure,marine port service,owner operator marine port related service,Transportation
25,2510,251010,25101010,consumer discretionary,automobile component,automotive part equipment,manufacturer part accessory automobile motorcycle excludes company classified tire rubber,Automobiles & Components
25,2510,251010,25101020,consumer discretionary,automobile component,tire rubber,manufacturer tire rubber,Automobiles & Components
25,2510,251020,25102010,consumer discretionary,automobile,automobile manufacturer,company produce mainly passenger automobile light truck excludes company producing mainly motorcycle classified motorcycle manufacturer heavy duty truck classified construction machinery heavy transportation equipment,Automobiles & Components
25,2510,251020,25102020,consumer discretionary,automobile,motorcycle manufacturer,company produce motorcycle scooter excludes bicycle classified leisure product,Automobiles & Components
25,2520,252010,25201010,consumer discretionary,household durables,consumer electronics,manufacturer consumer electronics product including tv home audio equipment game console digital camera related product excludes personal home computer manufacturer classified technology hardware storage peripheral electric household appliance classified household appliance,Consumer Durables & Apparel
25,2520,252010,25201020,consumer discretionary,household durables,home furnishing,manufacturer soft home furnishing furniture including upholstery carpet,Consumer Durables & Apparel
25,2520,252010,25201030,consumer discretionary,household durables,homebuilding,residential construction company includes manufacturer prefabricated house manufactured home,Consumer Durables & Apparel
25,2520,252010,25201040,consumer discretionary,household durables,household appliance,manufacturer electric household appliance related product includes manufacturer power hand tool including garden improvement tool excludes tv audio video product classified consumer electronics personal computer classified technology hardware storage peripheral,Consumer Durables & Apparel
25,2520,252010,25201050,consumer discretionary,household durables,housewares specialty,manufacturer durable household product including cutlery cookware glassware crystal silverware utensil kitchenware consumer specialty classified elsewhere,Consumer Durables & Apparel
25,2520,252020,25202010,consumer discretionary,leisure product,leisure product,manufacturer leisure product equipment including sport equipment bicycle toy,Consumer Durables & Apparel
25,2520,252030,25203010,consumer discretionary,textile apparel luxury good,apparel accessory luxury good,manufacturer apparel accessory luxury good includes company primarily producing designer handbag wallet luggage jewelry watch excludes shoe classified footwear,Consumer Durables & Apparel
25,2520,252030,25203020,consumer discretionary,textile apparel luxury good,footwear,manufacturer footwear includes sport leather shoe,Consumer Durables & Apparel
25,2520,252030,25203030,consumer discretionary,textile apparel luxury good,textile,manufacturer textile related product classified apparel accessory luxury good footwear home furnishing,Consumer Durables & Apparel
25,2530,253010,25301010,consumer discretionary,hotel restaurant leisure,casino gaming,owner operator casino gaming facility includes company providing lottery betting service,Consumer Services
25,2530,253010,25301020,consumer discretionary,hotel restaurant leisure,hotel resort cruise line,owner operator hotel resort includes travel agency tour operator related service classified elsewhere excludes classified casino gaming,Consumer Services
25,2530,253010,25301030,consumer discretionary,hotel restaurant leisure,leisure facility,owner operator leisure facility including sport fitness center stadium golf course amusement park classified movie entertainment,Consumer Services
25,2530,253010,25301040,consumer discretionary,hotel restaurant leisure,restaurant,owner operator restaurant bar pub facility includes company provide food catering service,Consumer Services
25,2530,253020,25302010,consumer discretionary,diversified consumer service,education service,company providing educational service either conventional teaching method includes private university correspondence teaching provider educational seminar educational material technical education excludes company providing employee education program classified human resource employment service,Consumer Services
25,2530,253020,25302020,consumer discretionary,diversified consumer service,specialized consumer service,company providing consumer service classified elsewhere includes residential service home security legal service personal service renovation interior design service consumer auction wedding funeral service,Consumer Services
25,2550,255010,25501010,consumer discretionary,distributor,distributor,distributor wholesaler general merchandise classified elsewhere includes vehicle distributor,Consumer Discretionary Distribution & Retail 
25,2550,255030,25503030,consumer discretionary,broadline retail,broadline retail,retailer offering wide range consumer discretionary merchandise includes general discount merchandise retailer department store retailer marketplace selling mostly consumer discretionary merchandise,Consumer Discretionary Distribution & Retail 
25,2550,255040,25504010,consumer discretionary,specialty retail,apparel retail,retailer specialized mainly apparel accessory,Consumer Discretionary Distribution & Retail 
25,2550,255040,25504020,consumer discretionary,specialty retail,computer electronics retail,owner operator consumer electronics computer video related product retail store,Consumer Discretionary Distribution & Retail 
25,2550,255040,25504030,consumer discretionary,specialty retail,home improvement retail,owner operator home garden improvement retail store includes store offering building material supply,Consumer Discretionary Distribution & Retail 
25,2550,255040,25504040,consumer discretionary,specialty retail,specialty retail,owner operator specialty retail store classified elsewhere includes jewelry store toy store office supply store health vision care store book entertainment store,Consumer Discretionary Distribution & Retail 
25,2550,255040,25504050,consumer discretionary,specialty retail,automotive retail,owner operator store specializing automotive retail includes auto dealer gas station retailer auto accessory motorcycle part automotive glass automotive equipment part,Consumer Discretionary Distribution & Retail 
25,2550,255040,25504060,consumer discretionary,specialty retail,homefurnishing retail,owner operator furniture home furnishing retail store includes residential furniture homefurnishings housewares interior design excludes home garden improvement store classified home improvement retail,Consumer Discretionary Distribution & Retail 
30,3010,301010,30101010,consumer staple,consumer staple distribution retail,drug retail,owner operator primarily drug retail store pharmacy,Consumer Staples Distribution & Retail
30,3010,301010,30101020,consumer staple,consumer staple distribution retail,food distributor,distributor food product company directly consumer,Consumer Staples Distribution & Retail
30,3010,301010,30101030,consumer staple,consumer staple distribution retail,food retail,owner operator primarily food retail store,Consumer Staples Distribution & Retail
30,3010,301010,30101040,consumer staple,consumer staple distribution retail,consumer staple merchandise retail,retailer offering wide range consumer staple merchandise food household personal care product includes hypermarket super center consumer staple retailer discount retail space marketplace selling mostly consumer staple good,Consumer Staples Distribution & Retail
30,3020,302010,30201010,consumer staple,beverage,brewer,producer beer malt liquor includes brewery classified restaurant,"Food, Beverage & Tobacco"
30,3020,302010,30201020,consumer staple,beverage,distiller vintner,distiller vintner producer alcoholic beverage classified brewer,"Food, Beverage & Tobacco"
30,3020,302010,30201030,consumer staple,beverage,soft drink beverage,producer beverage including mineral water excludes producer milk classified packaged food meat,"Food, Beverage & Tobacco"
30,3020,302020,30202010,consumer staple,food product,agricultural product service,producer agricultural product includes crop grower owner plantation company produce process food package market excludes company classified forest product package market food product classified packaged food meat,"Food, Beverage & Tobacco"
30,3020,302020,30202030,consumer staple,food product,packaged food meat,producer packaged food including dairy product fruit juice meat poultry fish pet food,"Food, Beverage & Tobacco"
30,3020,302030,30203010,consumer staple,tobacco,tobacco,manufacturer cigarette tobacco product,"Food, Beverage & Tobacco"
30,3030,303010,30301010,consumer staple,household product,household product,producer household product including detergent soap diaper tissue household paper product classified paper product,Household & Personal Products
30,3030,303020,30302010,consumer staple,personal care product,personal care product,manufacturer personal beauty care product including cosmetic perfume,Household & Personal Products
35,3510,351010,35101010,health care,health care equipment supply,health care equipment,manufacturer health care equipment device includes medical instrument drug delivery system cardiovascular orthopedic device diagnostic equipment,Health Care Equipment & Services
35,3510,351010,35101020,health care,health care equipment supply,health care supply,manufacturer health care supply medical product classified elsewhere includes eye care product hospital supply safety needle syringe device,Health Care Equipment & Services
35,3510,351020,35102010,health care,health care provider service,health care distributor,distributor wholesaler health care product classified elsewhere,Health Care Equipment & Services
35,3510,351020,35102015,health care,health care provider service,health care service,provider patient health care service classified elsewhere includes dialysis center lab testing service pharmacy management service also includes company providing business support service health care provider clerical support service collection agency service staffing service outsourced sale marketing service,Health Care Equipment & Services
35,3510,351020,35102020,health care,health care provider service,health care facility,owner operator health care facility including hospital nursing home rehabilitation center animal hospital,Health Care Equipment & Services
35,3510,351020,35102030,health care,health care provider service,managed health care,owner operator health maintenance organization hmo managed plan,Health Care Equipment & Services
35,3510,351030,35103010,health care,health care technology,health care technology,company providing information technology service primarily health care provider includes company providing application system data processing software tool consulting service doctor hospital business operating primarily health care sector,Health Care Equipment & Services
35,3520,352010,35201010,health care,biotechnology,biotechnology,company primarily engaged research development manufacturing marketing product based genetic analysis genetic engineering includes company specializing therapeutic treat human disease excludes company manufacturing product using biotechnology without health care application,"Pharmaceuticals, Biotechnology & Life Sciences"
35,3520,352020,35202010,health care,pharmaceutical,pharmaceutical,company engaged research development production pharmaceutical includes veterinary drug,"Pharmaceuticals, Biotechnology & Life Sciences"
35,3520,352030,35203010,health care,life science tool service,life science tool service,company enabling drug discovery development production continuum providing analytical tool instrument consumables supply clinical trial service contract research service includes firm primarily servicing pharmaceutical biotechnology industry,"Pharmaceuticals, Biotechnology & Life Sciences"
40,4010,401010,40101010,financials,bank,diversified bank,large geographically diverse bank national footprint whose revenue derived primarily conventional banking operation significant business activity retail banking small medium corporate lending provide diverse range financial service excludes bank classified regional bank commercial residential mortgage finance also excludes investment bank classified investment banking brokerage,Banks
40,4010,401010,40101015,financials,bank,regional bank,commercial bank saving bank thrift whose business derived primarily conventional banking operation retail banking corporate lending originating various residential commercial mortgage loan funded mainly deposit regional bank tend operate limited geographic region excludes company classified diversified bank commercial residential mortgage finance also excludes investment bank classified investment banking brokerage,Banks
40,4020,402010,40201020,financials,financial service,diversified financial service,provider diverse range financial service interest wide range financial service including banking insurance capital market dominant business line excludes company classified regional bank diversified bank,Financial Services 
40,4020,402010,40201030,financials,financial service,holding,company significantly diversified holding across three sector none contributes majority profit sale stake held predominantly nature includes diversified financial company stake held controlling nature excludes diversified company classified industrials conglomerate,Financial Services 
40,4020,402010,40201040,financials,financial service,specialized finance,provider specialized financial service classified elsewhere company derive majority revenue one specialized line business includes limited commercial financing company central bank leasing institution factoring service specialty boutique excludes company classified financial exchange data,Financial Services 
40,4020,402010,40201050,financials,financial service,commercial residential mortgage finance,financial company providing commercial residential mortgage financing related mortgage service includes funded mortgage lending institution building society company providing real estate financing product loan servicing mortgage broker service mortgage insurance,Financial Services 
40,4020,402010,40201060,financials,financial service,transaction payment processing service,provider transaction payment processing service related payment service including payment processor payment service provider gateway digital wallet provider,Financial Services 
40,4020,402020,40202010,financials,consumer finance,consumer finance,provider consumer finance service including personal credit credit card lease financing money service pawn shop excludes mortgage lender classified commercial residential mortgage finance,Financial Services 
40,4020,402030,40203010,financials,capital market,asset management custody bank,financial institution primarily engaged investment management related custody security service includes company operating mutual fund fund unit investment trust excludes bank financial institution primarily involved commercial lending investment banking brokerage specialized financial activity,Financial Services 
40,4020,402030,40203020,financials,capital market,investment banking brokerage,financial institution primarily engaged investment banking brokerage service including equity debt underwriting merger acquisition security lending advisory service excludes bank financial institution primarily involved commercial lending asset management specialized financial activity,Financial Services 
40,4020,402030,40203030,financials,capital market,diversified capital market,financial institution primarily engaged diversified capital market activity including significant presence least two following area corporate lending investment banking brokerage asset management excludes less diversified company classified asset management custody bank investment banking brokerage also excludes company classified bank insurance industry group consumer finance,Financial Services 
40,4020,402030,40203040,financials,capital market,financial exchange data,financial exchange security commodity derivative financial instrument provider financial decision support tool product including rating agency,Financial Services 
40,4020,402040,40204010,financials,mortgage real estate investment trust reit,mortgage reit,company trust service originate purchase securitize residential commercial mortgage loan includes trust invest security mortgage related asset,Financial Services 
40,4030,403010,40301010,financials,insurance,insurance broker,insurance reinsurance brokerage firm,Insurance
40,4030,403010,40301020,financials,insurance,life health insurance,company providing primarily life disability indemnity supplemental health insurance excludes managed care company classified managed health care,Insurance
40,4030,403010,40301030,financials,insurance,insurance,insurance company diversified interest life health property casualty insurance,Insurance
40,4030,403010,40301040,financials,insurance,property casualty insurance,company providing primarily property casualty insurance,Insurance
40,4030,403010,40301050,financials,insurance,reinsurance,company providing primarily reinsurance,Insurance
45,4510,451020,45102010,information technology,service,consulting service,provider information technology system integration service classified data processing outsourced service internet software service includes information technology consulting information management service,Software & Services
45,4510,451020,45102030,information technology,service,internet service infrastructure,company providing service infrastructure internet industry including data center cloud networking storage infrastructure also includes company providing web hosting service excludes company classified software industry,Software & Services
45,4510,451030,45103010,information technology,software,application software,company engaged developing producing software designed specialized application business consumer market includes enterprise technical software well software excludes company classified interactive home entertainment also excludes company producing system database management software classified system software,Software & Services
45,4510,451030,45103020,information technology,software,system software,company engaged developing producing system database management software,Software & Services
45,4520,452010,45201020,information technology,communication equipment,communication equipment,manufacturer communication equipment product including lan wan router telephone switchboard exchange excludes cellular phone manufacturer classified technology hardware storage peripheral,Technology Hardware & Equipment
45,4520,452020,45202030,information technology,technology hardware storage peripheral,technology hardware storage peripheral,manufacturer cellular phone personal computer server electronic computer component peripheral includes data storage component motherboards audio video card monitor keyboard printer peripheral excludes semiconductor classified semiconductor,Technology Hardware & Equipment
45,4520,452030,45203010,information technology,electronic equipment instrument component,electronic equipment instrument,manufacturer electronic equipment instrument including analytical electronic test measurement instrument product laser display screen machine security system equipment,Technology Hardware & Equipment
45,4520,452030,45203015,information technology,electronic equipment instrument component,electronic component,manufacturer electronic component includes electronic component connection device electron tube electronic capacitor resistor electronic coil printed circuit board transformer inductor signal processing,Technology Hardware & Equipment
45,4520,452030,45203020,information technology,electronic equipment instrument component,electronic manufacturing service,producer electronic equipment mainly oem original equipment manufacturer market,Technology Hardware & Equipment
45,4520,452030,45203030,information technology,electronic equipment instrument component,technology distributor,distributor technology hardware equipment includes distributor communication equipment computer peripheral semiconductor electronic equipment component,Technology Hardware & Equipment
45,4530,453010,45301010,information technology,semiconductor semiconductor equipment,semiconductor material equipment,manufacturer semiconductor equipment including manufacturer raw material equipment used solar power industry,Semiconductors & Semiconductor Equipment
45,4530,453010,45301020,information technology,semiconductor semiconductor equipment,semiconductor,manufacturer semiconductor related product including manufacturer solar module cell,Semiconductors & Semiconductor Equipment
50,5010,501010,50101010,communication service,diversified telecommunication service,alternative carrier,provider communication data transmission service primarily high cable network,Telecommunication Services
50,5010,501010,50101020,communication service,diversified telecommunication service,integrated telecommunication service,operator primarily telecommunication network company providing wireless telecommunication service classified elsewhere also includes internet service provider offering internet access end user,Telecommunication Services
50,5010,501020,50102010,communication service,wireless telecommunication service,wireless telecommunication service,provider primarily cellular wireless telecommunication service,Telecommunication Services
50,5020,502010,50201010,communication service,medium,advertising,company providing advertising marketing public relation service,Media & Entertainment
50,5020,502010,50201020,communication service,medium,broadcasting,owner operator television radio broadcasting system including programming includes radio television broadcasting radio network radio station,Media & Entertainment
50,5020,502010,50201030,communication service,medium,cable satellite,provider cable satellite television service includes cable network program distribution,Media & Entertainment
50,5020,502010,50201040,communication service,medium,publishing,publisher newspaper magazine book print electronic format,Media & Entertainment
50,5020,502020,50202010,communication service,entertainment,movie entertainment,company engage producing selling entertainment product service including company engaged production distribution screening movie television show producer distributor music entertainment theater sport team also includes company offering producing entertainment content streamed online,Media & Entertainment
50,5020,502020,50202020,communication service,entertainment,interactive home entertainment,producer interactive gaming product including mobile gaming application also includes educational software used primarily home excludes online gambling company classified casino gaming,Media & Entertainment
50,5020,502030,50203010,communication service,interactive medium service,interactive medium service,company engaging content information creation distribution proprietary platform revenue derived primarily advertisement includes search engine social medium networking platform online classified online review company,Media & Entertainment
55,5510,551010,55101010,utility,electric utility,electric utility,company produce distribute electricity includes nuclear facility,Utilities
55,5510,551020,55102010,utility,gas utility,gas utility,company whose main charter distribute transmit natural manufactured gas excludes company primarily involved gas exploration production classified oil gas exploration production also excludes company engaged storage transportation oil gas refined product classified oil gas storage transportation,Utilities
55,5510,551030,55103010,utility,,,utility company significantly diversified activity addition core electric utility gas utility water utility operation,Utilities
55,5510,551040,55104010,utility,water utility,water utility,company purchase redistribute water includes water treatment system,Utilities
55,5510,551050,55105010,utility,independent power renewable electricity producer,independent power producer energy trader,company operate independent power producer ipps gas power marketing trading specialist integrated energy merchant excludes producer electricity using renewable source solar power hydropower wind power also excludes electric transmission company utility distribution company classified electric utility,Utilities
55,5510,551050,55105020,utility,independent power renewable electricity producer,renewable electricity,company engage generation distribution electricity using renewable source including limited company produce electricity using biomass geothermal energy solar energy hydropower wind power excludes company manufacturing capital equipment used generate electricity using renewable source manufacturer solar power system installers photovoltaic cell company involved provision technology component service mainly market,Utilities
60,6010,601010,60101010,real estate,diversified reit,diversified reit,company trust significantly diversified operation across two property type,Equity Real Estate Investment Trusts (REITs)
60,6010,601025,60102510,real estate,industrial reit,industrial reit,company trust engaged acquisition development ownership leasing management operation industrial property includes company operating industrial warehouse distribution property,Equity Real Estate Investment Trusts (REITs)
60,6010,601030,60103010,real estate,hotel resort reit,hotel resort reit,company trust engaged acquisition development ownership leasing management operation hotel resort property,Equity Real Estate Investment Trusts (REITs)
60,6010,601040,60104010,real estate,office reit,office reit,company trust engaged acquisition development ownership leasing management operation office property,Equity Real Estate Investment Trusts (REITs)
60,6010,601050,60105010,real estate,health care reit,health care reit,company trust engaged acquisition development ownership leasing management operation property serving health care industry including hospital nursing home assisted living property,Equity Real Estate Investment Trusts (REITs)
60,6010,601060,60106010,real estate,residential reit,residential reit,company trust engaged acquisition development ownership leasing management operation apartment housing including student housing,Equity Real Estate Investment Trusts (REITs)
60,6010,601060,60106020,real estate,residential reit,residential reit,company trust engaged acquisition development ownership leasing management operation residential housing including manufactured home,Equity Real Estate Investment Trusts (REITs)
60,6010,601070,60107010,real estate,retail reit,retail reit,company trust engaged acquisition development ownership leasing management operation shopping mall outlet mall neighborhood community shopping center,Equity Real Estate Investment Trusts (REITs)
60,6010,601080,60108010,real estate,specialized reit,specialized reit,company trust engaged acquisition development ownership leasing management operation property classified elsewhere includes reit manage property natural gas crude oil pipeline gas station fiber optic cable prison automobile parking automobile dealership,Equity Real Estate Investment Trusts (REITs)
60,6010,601080,60108020,real estate,specialized reit,reit,company trust engaged acquisition development ownership leasing management operation self storage property,Equity Real Estate Investment Trusts (REITs)
60,6010,601080,60108030,real estate,specialized reit,telecom tower reit,company trust engaged acquisition development ownership leasing management operation telecom tower related structure support wireless telecommunication,Equity Real Estate Investment Trusts (REITs)
60,6010,601080,60108040,real estate,specialized reit,timber reit,company trust engaged acquisition development ownership leasing management operation timberland property,Equity Real Estate Investment Trusts (REITs)
60,6010,601080,60108050,real estate,specialized reit,data center reit,company trust engaged acquisition development ownership leasing management operation data center property,Equity Real Estate Investment Trusts (REITs)
60,6020,602010,60201010,real estate,real estate management development,diversified real estate activity,company engaged diverse spectrum real estate activity including real estate development sale real estate management real estate service dominant business line,Real Estate Management & Development
60,6020,602010,60201020,real estate,real estate management development,real estate operating company,company engaged operating real estate property purpose leasing management,Real Estate Management & Development
60,6020,602010,60201030,real estate,real estate management development,real estate development,company develop real estate sell property development excludes company classified homebuilding,Real Estate Management & Development
60,6020,602010,60201040,real estate,real estate management development,real estate service,real estate service provider real estate agent broker real estate appraiser,Real Estate Management & Development
